Species,Units,Date,Year,Month,Day,Time,Value
NO,ug m-3,01/01/2017,2017,01,01,0,3.5
NO,ug m-3,01/01/2017,2017,01,01,1,3.6
NO,ug m-3,01/01/2017,2017,01,01,2,2.2
NO,ug m-3,01/01/2017,2017,01,01,3,2.1
NO,ug m-3,01/01/2017,2017,01,01,4,3.3
NO,ug m-3,01/01/2017,2017,01,01,5,2.1
NO,ug m-3,01/01/2017,2017,01,01,6,4.4
NO,ug m-3,01/01/2017,2017,01,01,7,5.1
NO,ug m-3,01/01/2017,2017,01,01,8,7.4
NO,ug m-3,01/01/2017,2017,01,01,9,6.5
NO,ug m-3,01/01/2017,2017,01,01,10,4.6
NO,ug m-3,01/01/2017,2017,01,01,11,3.7
NO,ug m-3,01/01/2017,2017,01,01,12,3.3
NO,ug m-3,01/01/2017,2017,01,01,13,3.0
NO,ug m-3,01/01/2017,2017,01,01,14,3.5
NO,ug m-3,01/01/2017,2017,01,01,15,3.7
NO,ug m-3,01/01/2017,2017,01,01,16,3.5
NO,ug m-3,01/01/2017,2017,01,01,17,3.4
NO,ug m-3,01/01/2017,2017,01,01,18,3.5
NO,ug m-3,01/01/2017,2017,01,01,19,2.4
NO,ug m-3,01/01/2017,2017,01,01,20,2.5
NO,ug m-3,01/01/2017,2017,01,01,21,4.0
NO,ug m-3,01/01/2017,2017,01,01,22,4.0
NO,ug m-3,01/01/2017,2017,01,01,23,3.8
NO,ug m-3,02/01/2017,2017,01,02,0,5.2
NO,ug m-3,02/01/2017,2017,01,02,1,2.3
NO,ug m-3,02/01/2017,2017,01,02,2,2.3
NO,ug m-3,02/01/2017,2017,01,02,3,3.2
NO,ug m-3,02/01/2017,2017,01,02,4,5.4
NO,ug m-3,02/01/2017,2017,01,02,5,6.6
NO,ug m-3,02/01/2017,2017,01,02,6,4.7
NO,ug m-3,02/01/2017,2017,01,02,7,6.2
NO,ug m-3,02/01/2017,2017,01,02,8,4.0
NO,ug m-3,02/01/2017,2017,01,02,9,6.1
NO,ug m-3,02/01/2017,2017,01,02,10,6.4
NO,ug m-3,02/01/2017,2017,01,02,11,6.6
NO,ug m-3,02/01/2017,2017,01,02,12,7.1
NO,ug m-3,02/01/2017,2017,01,02,13,7.0
NO,ug m-3,02/01/2017,2017,01,02,14,7.7
NO,ug m-3,02/01/2017,2017,01,02,15,7.3
NO,ug m-3,02/01/2017,2017,01,02,16,8.9
NO,ug m-3,02/01/2017,2017,01,02,17,17.6
NO,ug m-3,02/01/2017,2017,01,02,18,29.6
NO,ug m-3,02/01/2017,2017,01,02,19,23.3
NO,ug m-3,02/01/2017,2017,01,02,20,19.8
NO,ug m-3,02/01/2017,2017,01,02,21,24.2
NO,ug m-3,02/01/2017,2017,01,02,22,26.2
NO,ug m-3,02/01/2017,2017,01,02,23,47.1
NO,ug m-3,03/01/2017,2017,01,03,0,48.6
NO,ug m-3,03/01/2017,2017,01,03,1,37.8
NO,ug m-3,03/01/2017,2017,01,03,2,38.0
NO,ug m-3,03/01/2017,2017,01,03,3,34.1
NO,ug m-3,03/01/2017,2017,01,03,4,20.5
NO,ug m-3,03/01/2017,2017,01,03,5,13.4
NO,ug m-3,03/01/2017,2017,01,03,6,21.5
NO,ug m-3,03/01/2017,2017,01,03,7,42.1
NO,ug m-3,03/01/2017,2017,01,03,8,65.3
NO,ug m-3,03/01/2017,2017,01,03,9,77.4
NO,ug m-3,03/01/2017,2017,01,03,10,85.4
NO,ug m-3,03/01/2017,2017,01,03,11,60.7
NO,ug m-3,03/01/2017,2017,01,03,12,42.9
NO,ug m-3,03/01/2017,2017,01,03,13,36.2
NO,ug m-3,03/01/2017,2017,01,03,14,33.0
NO,ug m-3,03/01/2017,2017,01,03,15,13.5
NO,ug m-3,03/01/2017,2017,01,03,16,17.6
NO,ug m-3,03/01/2017,2017,01,03,17,23.7
NO,ug m-3,03/01/2017,2017,01,03,18,28.3
NO,ug m-3,03/01/2017,2017,01,03,19,33.4
NO,ug m-3,03/01/2017,2017,01,03,20,17.6
NO,ug m-3,03/01/2017,2017,01,03,21,11.6
NO,ug m-3,03/01/2017,2017,01,03,22,9.8
NO,ug m-3,03/01/2017,2017,01,03,23,7.4
NO,ug m-3,04/01/2017,2017,01,04,0,5.3
NO,ug m-3,04/01/2017,2017,01,04,1,3.5
NO,ug m-3,04/01/2017,2017,01,04,2,3.6
NO,ug m-3,04/01/2017,2017,01,04,3,4.1
NO,ug m-3,04/01/2017,2017,01,04,4,5.5
NO,ug m-3,04/01/2017,2017,01,04,5,10.0
NO,ug m-3,04/01/2017,2017,01,04,6,27.9
NO,ug m-3,04/01/2017,2017,01,04,7,28.8
NO,ug m-3,04/01/2017,2017,01,04,8,39.8
NO,ug m-3,04/01/2017,2017,01,04,9,36.4
NO,ug m-3,04/01/2017,2017,01,04,10,36.8
NO,ug m-3,04/01/2017,2017,01,04,11,24.6
NO,ug m-3,04/01/2017,2017,01,04,12,
NO,ug m-3,04/01/2017,2017,01,04,13,10.3
NO,ug m-3,04/01/2017,2017,01,04,14,8.7
NO,ug m-3,04/01/2017,2017,01,04,15,8.1
NO,ug m-3,04/01/2017,2017,01,04,16,9.7
NO,ug m-3,04/01/2017,2017,01,04,17,14.0
NO,ug m-3,04/01/2017,2017,01,04,18,17.1
NO,ug m-3,04/01/2017,2017,01,04,19,18.4
NO,ug m-3,04/01/2017,2017,01,04,20,18.2
NO,ug m-3,04/01/2017,2017,01,04,21,16.5
NO,ug m-3,04/01/2017,2017,01,04,22,16.4
NO,ug m-3,04/01/2017,2017,01,04,23,14.8
NO,ug m-3,05/01/2017,2017,01,05,0,10.4
NO,ug m-3,05/01/2017,2017,01,05,1,6.5
NO,ug m-3,05/01/2017,2017,01,05,2,9.7
NO,ug m-3,05/01/2017,2017,01,05,3,6.4
NO,ug m-3,05/01/2017,2017,01,05,4,10.4
