Species,Units,Date,Year,Month,Day,Time,Value,Weekday
NO,ug m-3,01/01/2017,2017,1,1,0,1.75,SUN
NO,ug m-3,01/01/2017,2017,1,1,1,1.8,SUN
NO,ug m-3,01/01/2017,2017,1,1,2,1.1,SUN
NO,ug m-3,01/01/2017,2017,1,1,3,1.05,SUN
NO,ug m-3,01/01/2017,2017,1,1,4,1.65,SUN
NO,ug m-3,01/01/2017,2017,1,1,5,1.05,SUN
NO,ug m-3,01/01/2017,2017,1,1,6,2.2,SUN
NO,ug m-3,01/01/2017,2017,1,1,7,2.55,SUN
NO,ug m-3,01/01/2017,2017,1,1,8,3.7,SUN
NO,ug m-3,01/01/2017,2017,1,1,9,3.25,SUN
NO,ug m-3,01/01/2017,2017,1,1,10,2.3,SUN
NO,ug m-3,01/01/2017,2017,1,1,11,1.85,SUN
NO,ug m-3,01/01/2017,2017,1,1,12,1.65,SUN
NO,ug m-3,01/01/2017,2017,1,1,13,1.5,SUN
NO,ug m-3,01/01/2017,2017,1,1,14,1.75,SUN
NO,ug m-3,01/01/2017,2017,1,1,15,1.85,SUN
NO,ug m-3,01/01/2017,2017,1,1,16,1.75,SUN
NO,ug m-3,01/01/2017,2017,1,1,17,1.7,SUN
NO,ug m-3,01/01/2017,2017,1,1,18,1.75,SUN
NO,ug m-3,01/01/2017,2017,1,1,19,1.2,SUN
NO,ug m-3,01/01/2017,2017,1,1,20,7.5,SUN
NO,ug m-3,01/01/2017,2017,1,1,21,12.0,SUN
NO,ug m-3,01/01/2017,2017,1,1,22,12.0,SUN
NO,ug m-3,01/01/2017,2017,1,1,23,11.399999999999999,SUN
NO,ug m-3,02/01/2017,2017,1,2,0,2.6,MON
NO,ug m-3,02/01/2017,2017,1,2,1,1.15,MON
NO,ug m-3,02/01/2017,2017,1,2,2,1.15,MON
NO,ug m-3,02/01/2017,2017,1,2,3,1.6,MON
NO,ug m-3,02/01/2017,2017,1,2,4,2.7,MON
NO,ug m-3,02/01/2017,2017,1,2,5,3.3,MON
NO,ug m-3,02/01/2017,2017,1,2,6,2.35,MON
NO,ug m-3,02/01/2017,2017,1,2,7,3.1,MON
NO,ug m-3,02/01/2017,2017,1,2,8,2.0,MON
NO,ug m-3,02/01/2017,2017,1,2,9,3.05,MON
NO,ug m-3,02/01/2017,2017,1,2,10,3.2,MON
NO,ug m-3,02/01/2017,2017,1,2,11,3.3,MON
NO,ug m-3,02/01/2017,2017,1,2,12,3.55,MON
NO,ug m-3,02/01/2017,2017,1,2,13,3.5,MON
NO,ug m-3,02/01/2017,2017,1,2,14,3.85,MON
NO,ug m-3,02/01/2017,2017,1,2,15,3.65,MON
NO,ug m-3,02/01/2017,2017,1,2,16,4.45,MON
NO,ug m-3,02/01/2017,2017,1,2,17,8.8,MON
NO,ug m-3,02/01/2017,2017,1,2,18,14.8,MON
NO,ug m-3,02/01/2017,2017,1,2,19,11.65,MON
NO,ug m-3,02/01/2017,2017,1,2,20,59.400000000000006,MON
NO,ug m-3,02/01/2017,2017,1,2,21,72.6,MON
NO,ug m-3,02/01/2017,2017,1,2,22,78.6,MON
NO,ug m-3,02/01/2017,2017,1,2,23,141.3,MON
NO,ug m-3,03/01/2017,2017,1,3,0,24.3,TUE
NO,ug m-3,03/01/2017,2017,1,3,1,18.9,TUE
NO,ug m-3,03/01/2017,2017,1,3,2,19.0,TUE
NO,ug m-3,03/01/2017,2017,1,3,3,17.05,TUE
NO,ug m-3,03/01/2017,2017,1,3,4,10.25,TUE
NO,ug m-3,03/01/2017,2017,1,3,5,6.7,TUE
NO,ug m-3,03/01/2017,2017,1,3,6,10.75,TUE
NO,ug m-3,03/01/2017,2017,1,3,7,21.05,TUE
NO,ug m-3,03/01/2017,2017,1,3,8,32.65,TUE
NO,ug m-3,03/01/2017,2017,1,3,9,38.7,TUE
NO,ug m-3,03/01/2017,2017,1,3,10,42.7,TUE
NO,ug m-3,03/01/2017,2017,1,3,11,30.35,TUE
NO,ug m-3,03/01/2017,2017,1,3,12,21.45,TUE
NO,ug m-3,03/01/2017,2017,1,3,13,18.1,TUE
NO,ug m-3,03/01/2017,2017,1,3,14,16.5,TUE
NO,ug m-3,03/01/2017,2017,1,3,15,6.75,TUE
NO,ug m-3,03/01/2017,2017,1,3,16,8.8,TUE
NO,ug m-3,03/01/2017,2017,1,3,17,11.85,TUE
NO,ug m-3,03/01/2017,2017,1,3,18,14.15,TUE
NO,ug m-3,03/01/2017,2017,1,3,19,16.7,TUE
NO,ug m-3,03/01/2017,2017,1,3,20,52.800000000000004,TUE
NO,ug m-3,03/01/2017,2017,1,3,21,34.8,TUE
NO,ug m-3,03/01/2017,2017,1,3,22,29.400000000000002,TUE
NO,ug m-3,03/01/2017,2017,1,3,23,22.200000000000003,TUE
NO,ug m-3,04/01/2017,2017,1,4,0,2.65,WED
NO,ug m-3,04/01/2017,2017,1,4,1,1.75,WED
NO,ug m-3,04/01/2017,2017,1,4,2,1.8,WED
